Array Size(N),Threshold(S),Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,Average Key Comparison,Array Size(N=1000),Array Size(N=2500),Array Size(N=5000),Array Size(N=7500),Array Size(N=10000),Array Size(N=25000),Array Size(N=50000),Array Size(N=75000),Array Size(N=100000),Array Size(N=250000),Array Size(N=500000),Array Size(N=750000),Array Size(N=1000000),Array Size(N=2500000),Array Size(N=5000000),Array Size(N=7500000),Array Size(N=10000000)
750000,18,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,19,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
750000,20,14385135,14381888,14385867,14382993,14382330,14383642.6,,,,,,,,,,,,14383642.6,,,,,
1000000,2,18670579,18670316,18670935,18670795,18670678,18670660.6,,,,,,,,,,,,,18670660.6,,,,
1000000,3,18724075,18723334,18723673,18724126,18723535,18723748.6,,,,,,,,,,,,,18723748.6,,,,
1000000,4,18724075,18723334,18723673,18724126,18723535,18723748.6,,,,,,,,,,,,,18723748.6,,,,
1000000,5,18724075,18723334,18723673,18724126,18723535,18723748.6,,,,,,,,,,,,,18723748.6,,,,
1000000,6,18817434,18817082,18816594,18816958,18815884,18816790.4,,,,,,,,,,,,,18816790.4,,,,
1000000,7,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,8,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,9,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,10,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,11,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,12,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,13,19067605,19067479,19068415,19069123,19066089,19067742.2,,,,,,,,,,,,,19067742.2,,,,
1000000,14,19879699,19881882,19881413,19880885,19876732,19880122.2,,,,,,,,,,,,,19880122.2,,,,
1000000,15,20215661,20218755,20214455,20216098,20213486,20215691,,,,,,,,,,,,,20215691,,,,
1000000,16,20215661,20218755,20214455,20216098,20213486,20215691,,,,,,,,,,,,,20215691,,,,
1000000,17,20215661,20218755,20214455,20216098,20213486,20215691,,,,,,,,,,,,,20215691,,,,
1000000,18,20215661,20218755,20214455,20216098,20213486,20215691,,,,,,,,,,,,,20215691,,,,
1000000,19,20215661,20218755,20214455,20216098,20213486,20215691,,,,,,,,,,,,,20215691,,,,
1000000,20,20215661,20218755,20214455,20216098,20213486,20215691,,,,,,,,,,,,,20215691,,,,
2500000,2,50014800,50013603,50015235,50013332,50014370,50014268,,,,,,,,,,,,,,50014268,,,
2500000,3,50044315,50043521,50044961,50043348,50044574,50044143.8,,,,,,,,,,,,,,50044143.8,,,
2500000,4,50265033,50263651,50265349,50263168,50267475,50264935.2,,,,,,,,,,,,,,50264935.2,,,
2500000,5,50265033,50263651,50265349,50263168,50267475,50264935.2,,,,,,,,,,,,,,50264935.2,,,
2500000,6,50265033,50263651,50265349,50263168,50267475,50264935.2,,,,,,,,,,,,,,50264935.2,,,
2500000,7,50265033,50263651,50265349,50263168,50267475,50264935.2,,,,,,,,,,,,,,50264935.2,,,
2500000,8,50773494,50771585,50773925,50769911,50777382,50773259.4,,,,,,,,,,,,,,50773259.4,,,
2500000,9,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,10,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,11,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,12,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,13,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,14,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,15,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
2500000,16,51588526,51590240,51587374,51587185,51593854,51589435.8,,,,,,,,,,,,,,51589435.8,,,
